"No.","Time","Source","Destination","Protocol","Length","Info","OpCode","OpGroup","Bytes"
"87","2024-12-20 19:26:39.968893","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"88","2024-12-20 19:26:40.058036","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"89","2024-12-20 19:26:40.059403","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"90","2024-12-20 19:26:40.059822","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"91","2024-12-20 19:26:40.060645","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"92","2024-12-20 19:26:40.154100","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"93","2024-12-20 19:26:40.302761","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"94","2024-12-20 19:26:40.305922","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"95","2024-12-20 19:26:40.306171","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"96","2024-12-20 19:26:40.308088","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"97","2024-12-20 19:26:40.308356","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"98","2024-12-20 19:26:40.313073","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"99","2024-12-20 19:26:40.313324","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"100","2024-12-20 19:26:40.315849","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"101","2024-12-20 19:26:40.316130","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Set Extended Scan Parameters","LE Controller Commands","41:20"
"102","2024-12-20 19:26:40.320861","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04"
"103","2024-12-20 19:26:40.321126","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"104","2024-12-20 19:26:40.325649","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"105","2024-12-20 19:26:40.479034","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"106","2024-12-20 19:26:40.585275","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"107","2024-12-20 19:26:40.688519","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"108","2024-12-20 19:26:40.688833","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"109","2024-12-20 19:26:40.689146","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"110","2024-12-20 19:26:40.739902","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","","3e:0f"
"111","2024-12-20 19:26:40.790981","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"112","2024-12-20 19:26:40.791291","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"113","2024-12-20 19:26:44.267665","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"114","2024-12-20 19:26:44.268200","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"115","2024-12-20 19:26:44.268663","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"116","2024-12-20 19:26:44.367164","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"117","2024-12-20 19:26:45.614774","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"118","2024-12-20 19:26:47.496669","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"119","2024-12-20 19:26:47.497154","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"120","2024-12-20 19:26:47.498001","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"121","2024-12-20 19:26:47.534619","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","","3e:0f"
"122","2024-12-20 19:26:47.535995","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"123","2024-12-20 19:26:48.110417","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"124","2024-12-20 19:26:48.738598","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
