"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"658","2025-01-02 01:32:34.911012","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"660","2025-01-02 01:32:34.917013","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"662","2025-01-02 01:37:04.474987","host","controller","HCI_CMD","6","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"664","2025-01-02 01:37:04.528014","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","aa:fe","","","","","","","","","","","","","","","","","","",""
"666","2025-01-02 01:37:04.549458","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"668","2025-01-02 01:37:04.570848","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","f6:ff","","","","","","","","","","","","","","","","","","",""
"670","2025-01-02 01:37:04.576037","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"672","2025-01-02 01:37:04.580783","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","2c:fe","","","","","","","","","","","","","","","","","","",""
"674","2025-01-02 01:37:04.595784","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"676","2025-01-02 01:37:04.601080","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"678","2025-01-02 01:37:04.606086","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"680","2025-01-02 01:37:04.610913","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"682","2025-01-02 01:37:04.631682","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:a0","","","","","","","","","","","","","","","","","","",""
"684","2025-01-02 01:37:04.635966","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"686","2025-01-02 01:37:10.472264","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"688","2025-01-02 01:37:10.475529","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"690","2025-01-02 01:37:10.480386","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"692","2025-01-02 01:37:12.478714","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"694","2025-01-02 01:37:12.483028","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"696","2025-01-02 01:37:12.488020","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"698","2025-01-02 01:37:12.492971","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"700","2025-01-02 01:37:12.499701","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"702","2025-01-02 01:37:12.504139","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"704","2025-01-02 01:37:12.507907","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"706","2025-01-02 01:40:51.584036","host","controller","HCI_CMD","6","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"709","2025-01-02 01:40:51.601552","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","aa:fe","","","","","","","","","","","","","","","","","","",""
"711","2025-01-02 01:40:51.606673","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"713","2025-01-02 01:40:51.610443","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","f6:ff","","","","","","","","","","","","","","","","","","",""
"715","2025-01-02 01:40:51.615515","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"717","2025-01-02 01:40:51.620692","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","2c:fe","","","","","","","","","","","","","","","","","","",""
"719","2025-01-02 01:40:51.625477","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"721","2025-01-02 01:40:51.630423","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"723","2025-01-02 01:40:51.635487","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"725","2025-01-02 01:40:51.640526","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"727","2025-01-02 01:40:51.645509","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:a0","","","","","","","","","","","","","","","","","","",""
"729","2025-01-02 01:40:51.649226","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"731","2025-01-02 01:40:52.612368","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
